Entity,Code,Tree density (trees per km2)
South Korea,KOR,38096.51697
South Sudan,SSD,43102.38181
Spain,ESP,22485.21846
Sri Lanka,LKA,36776.64322
Sudan,SDN,1621.803535
Suriname,SUR,56379.07719
Sweden,SWE,69161.14537
Switzerland,CHE,26575.0923
Syria,SYR,534.232646
Taiwan,TWN,62975.40764
Tajikistan,TJK,1040.686297
Tanzania,TZA,21959.14136
Thailand,THA,16141.13397
Timor,TLS,34117.11333
Togo,TGO,17835.76
Tokelau,TKL,1167.236404
Tonga,TON,7262.276005
Trinidad and Tobago,TTO,40015.5975
Tunisia,TUN,974.6999118
Turkey,TUR,11125.98443
Turkmenistan,TKM,14.72434443
Turks and Caicos Islands,TCA,3909.563112
Tuvalu,TUV,909.3359494
Uganda,UGA,10139.84761
Ukraine,UKR,11693.12495
United Arab Emirates,ARE,0.248461446
United Kingdom,GBR,12263.51514
United States,USA,24087.25054
United States Virgin Islands,VIR,12796.13991
Uruguay,URY,3053.482325
Uzbekistan,UZB,255.5274208
Vanuatu,VUT,46053.42839
Venezuela,VEN,39500.2561
Vietnam,VNM,28325.07761
Wallis and Futuna,WLF,10507.87957
Western Sahara,ESH,0.069174774
World,OWID_WRL,22540.35861
World (mean),,22540.35861
World (median),,17249.64546
Yemen,YEM,34.19417681
Zambia,ZMB,36533.3207
Zimbabwe,ZWE,14392.59874
